Name,Position,Department,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07,2023-11-08,2023-11-09,2023-11-10,2023-11-11,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01
Taras Kuzmenko,Middle QA,Project Management department,380949,387005,356544,257895,226025,358113,193236,179563,461697,346968,370207,441394,333218,437712,106098,317550,294495,436579,142285,143065,194453,296833,102422,155001,486697,281881,152846,472670,440889,306646,309431,371408,492570,316578,133217,468016,294858,290831,280574,104291,400953,304820,390970,142324,433701,371668,476071,252710,385275,448286,338435,106578,480389,304038,236806,283608,253693,188449,325587,135402,209098,208565,109533,322637,449953,197801,415794,430649,178789,210283,259758,238288,240282,145113,484606,231448,144934,473939,324880,249436,269612,335583,347244,327727,195687,158380,391542,339541,285433,483049,398327,266245
Dmytro Shcherbak,Middle QA,Development department,269188,489451,104426,490809,310103,371694,457430,486036,403774,454681,386681,465124,400702,144076,445492,488153,306321,408122,496073,152627,274115,221964,315480,494848,137591,251198,255359,240679,394111,464807,191332,152136,310334,252451,285983,183773,396286,376158,306115,475754,400745,153936,457874,452154,398186,253104,274899,486444,400364,227353,269214,250880,217954,366366,121658,470266,147449,141897,468580,213458,275103,393316,337210,437120,402877,176065,413007,394851,129401,387451,261172,360310,377879,390481,396260,161469,418754,121683,220232,491438,434281,100578,251170,307614,401439,225739,386355,308074,109205,138089,442230,288784
Dmytro Shcherbak,Project Manager,DevOps department,237595,375312,243334,306220,274375,414397,222845,447947,179277,348299,251927,372781,159340,481815,144068,468151,353693,304333,275644,430626,333443,276135,344961,385992,132897,221776,103195,118138,129141,474294,133752,379835,357398,315665,166634,434491,399511,201564,442413,126776,146811,363445,332709,334777,387989,411341,451190,480920,111253,370853,128710,409556,316679,181262,397120,445502,164104,232588,320942,102356,140500,384360,421910,346838,244479,316952,381025,110017,154796,374926,467891,331846,347037,387491,356015,151502,299998,261077,153898,290935,443593,401386,215157,431230,364556,114639,196280,253410,330589,378679,467243,471145
Bogdan Petrenko,Middle QA,DevOps department,494096,460534,105358,195351,284391,438920,130520,158854,485248,423174,237590,110592,223132,442944,363080,456251,442748,172218,221692,130630,139955,271128,274074,152779,487325,281877,498893,164253,466880,318478,480292,301488,439551,158052,153791,453723,383113,177311,157843,485605,384102,434751,175134,162987,369917,197132,408164,308577,322473,278712,293118,308875,415848,261291,164440,430482,282238,109570,388079,119000,282466,106832,201179,177809,221245,128148,444247,393032,371056,305067,128003,283600,106197,342873,177662,157432,453888,240244,409590,115662,395499,217852,416139,202467,119953,177896,359859,305944,407575,224736,489593,334599
Ivan Panchenko,Junior QA,QA department,174592,354034,215392,374391,173482,374747,380882,151679,403802,185154,231933,408676,412705,121015,276425,165748,177351,357844,386552,301359,266526,417453,246696,258897,440154,332449,155898,224335,345435,307420,262893,216644,427194,249345,430956,309402,215637,279160,166824,151946,232990,409054,477052,310737,113852,403332,113833,114377,397416,341405,151891,294096,493303,477527,164068,439070,452842,156465,480658,433990,418647,216527,402743,396016,430746,253941,402012,350820,473560,398221,195008,149728,399338,136261,368298,404669,272164,116362,362815,270041,316740,302534,284574,347921,129250,496761,472253,491614,362765,405857,368879,192152
Petro Sydorenko,Project Manager,DevOps department,376833,210195,161051,292119,135958,352357,344320,275140,142024,495691,230350,360299,411655,325279,293950,178250,477837,499924,149702,367678,467028,190617,317301,220624,311850,480179,371745,495149,221479,137432,425300,118576,248998,141037,247556,343187,352135,228248,104294,384851,129299,273757,480512,126239,160945,115679,498528,340309,363783,195945,342515,428434,268264,415242,116553,348466,357159,113925,318521,127488,437994,414326,497524,363995,328127,396239,434781,474752,387071,374913,481655,205675,414431,270676,295916,376241,180943,256210,407132,465422,383461,283277,311200,494158,285498,235183,301419,297848,399723,416793,155237,438581
Maksym Kovalenko,Project Manager,UI/UX Design department,403831,241269,144203,149312,447615,414060,127298,428310,105468,384570,187754,112066,277424,493307,193303,144421,326368,175870,382251,132575,400538,182778,247942,478570,391846,333307,492659,259281,117863,347387,205086,230747,496432,299515,495498,220377,369692,471384,364040,239193,411525,178190,478377,294257,190917,431592,167647,448020,474086,376299,371728,180448,179946,331820,117926,273602,492424,464541,373901,368339,126583,158967,239333,336788,263039,237176,371280,176416,174251,196096,496711,403964,366106,405672,205594,196739,427125,282772,485492,441307,303709,188520,486911,371337,422528,180138,318488,115219,400056,436426,191043,239310
Yurii Tsymbaliuk,Junior QA,DevOps department,148132,229001,243436,303647,197178,490238,130934,176495,159314,285150,142128,147169,192130,414675,263195,451857,277494,282469,307169,313170,354639,293317,490187,191014,202715,388057,180643,254432,361585,313460,138346,406035,189189,135307,433579,122492,280497,163601,182481,243988,382035,331402,138129,165571,234088,235523,316254,345565,434053,232250,141763,439408,444806,414569,211663,194529,410963,274581,208015,121262,463111,268517,229790,434722,417563,166735,429505,309323,370127,239999,294263,324079,178679,314048,417138,483272,114303,283827,109621,249042,433736,453288,350069,431150,261695,218778,157405,239783,297595,343711,135652,313702
Vasyl Symonenko,Middle QA,QA department,450762,434747,426139,366035,408934,480384,341903,142447,458804,272364,340788,247756,467235,343552,334255,392356,282935,434293,357965,287459,380236,493186,123731,444441,408843,144125,288283,198357,284178,391054,403461,386862,110740,200339,132511,135284,452617,190407,339033,308692,484995,220799,427111,333978,372104,235081,132583,429848,198701,426259,430224,147704,242673,172288,390110,404137,143066,418605,328212,380127,273893,248747,436359,370006,262649,203728,287822,128923,462377,162867,135974,442992,307346,101673,344295,175567,477687,361589,362258,222208,368257,194104,334097,102898,148955,189012,446687,338794,430164,287185,236496,394176
Oleksii Hryhorenko,Middle Developer,Development department,206414,474002,205300,389511,456730,345828,486041,375171,255243,126308,145136,189136,499015,202833,131179,240484,209030,346258,358060,313547,225003,379519,443222,324872,461295,412964,106296,392765,360363,170242,318063,242321,125974,240114,239533,433977,302394,336002,331184,226539,195471,409537,241954,485987,233698,470229,480682,445303,185477,368622,390933,477661,369208,209024,271235,174785,228539,491078,156711,453398,333245,169584,262384,105416,190870,228130,218228,458376,293741,129647,262646,400895,295146,240477,263125,354156,234720,320107,101765,106073,449531,386933,443285,448683,332720,425298,278640,110020,477468,267311,185912,406150
Petro Hnatenko,Senior QA,QA department,250939,149112,338044,266682,215803,478041,493314,206675,385149,191558,175459,244315,126677,279866,217986,329960,406020,401997,444226,321575,348889,179504,135694,358017,331043,221136,486773,134614,384909,454983,243775,181764,167696,143247,208692,202260,64723,184842,144464,103096,120603,138829,109346,224204,245535,221088,138174,147611,139600,239310,119024,199884,155468,63143,71209,238767,229086,206806,118711,152917,77072,86025,179416,79691,146087,215372,189602,197727,71880,99518,60894,114012,164682,189158,182601,66857,132140,192002,84958,232705,227701,130332,180856,182535,70672,142708,77422,249024,144234,122489,84417,191594
Roman Fedorov,Team Lead,Development department,374851,333629,232560,107601,187576,266660,226016,308507,435248,483285,393582,297103,292658,329920,256438,343599,212527,312900,186834,361488,161552,365956,112724,350796,475125,220120,416014,326819,280665,195175,30657,52581,85612,70519,83750,75881,105112,69580,33070,95719,28351,121597,32878,78838,98510,116097,63341,42150,82235,70357,122253,28152,57635,93143,73336,101379,115859,49927,27902,56958,44837,33523,31440,75560,53296,75247,113214,45522,59553,69521,36411,46397,38743,33622,65140,81452,113206,102953,98819,39797,65802,99266,41424,47058,118394,29071,117480,57183,82996,83513,111443,31705
Andriy Kozlov,HR Specialist,Project Management department ,170029,400642,383024,173274,150458,270594,348312,143403,357954,363784,356736,100545,461736,403490,445222,314491,426606,159168,416457,478263,389994,353259,182982,484461,230055,269228,159330,155453,347024,363168,478858,888822,609420,822954,964970,460528,908962,891424,272588,227276,888646,293118,693188,284004,938366,979214,985000,819448,671200,420622,596504,862584,604038,214710,487534,984038,242094,926878,545936,324844,372146,899262,462592,861208,898732,482718,472918,811154,618590,669408,461988,843658,553098,649508,810438,467874,979964,686640,918510,262756,255120,683812,813886,732564,458510,756890,710032,618006,204736,888396,280236,280472
Aleksandr Sadomov,Senior Developer,Development department,112 147,,,108 529,185 026,364 271,327 619,201 597,,,284 258,268 003,320 831,203 118,358 155,,,316 462,303 132,185.46,372 667,146 303,,,323 535,230.28,340 525,317 296,0,,,0,302 985,339 938,299 033,380.61,,,320 227,470 101,306 285,312.54,292 355,,,313 757,354 769,310.66,334 654,267 384,,,282 246,337 777,185.77,330.7,0,,,128 023,235 382,205 549,225 825,281 899,,,284 013,329 347,334 599,156 133,306.15,,,326 705,216 625,204 717,338 552,189 488,,,116 949,239 714,149 366,323 554,171 055,,,174 205,230 278,313 861,0,259 243
Alexandr Moroz,Project Manager,Development department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334 306,0,0,376.98,263 184,324 695,292 585,309 506,,,286 939,306 962,271 079,261 641,307.57,,,0,0,0,0,0,,,321 426,305.02,0,328 938,335 338,,,345 059,300 431,675 521,288 655,332 439,,,346 181,328 173,334 083,355 613,327 608,,179 516,252.59,309 211,312 386,342 229,323.85,,,110 988,309 487,300 752,307.16,329 219
Anastasia Harina,"Junior QA
",Development department,228 403,,,0,163 747,235.56,344 151,298.5,,,294 578,175.36,101 831,283.63,312 547,,,299 249,348 939,189 434,366 031,200 648,,,307.42,279 239,0,332 435,0,,,0,0,0,0,0,,,272 632,277 861,121 548,145 452,219 303,,,0,287 555,684 124,107 221,124.11,,,132 346,320 598,349 467,2 353 915,307 574,,,331.27,332.48,3 404 693,324 021,0,,109 823,165 665,172 138,179 437,0,272.68,,106 754,166 931,305 744,288 739,249 274,134 392,,,324 623,288 019,235 735,221.87,,,,215 783,426 774,0,106 466,0
Anastasia Novichenko,"Jurion developer
",Development department,299 286,,,174 083,1 334 619,246 939,324 244,1 292 118,,1 034 719,798 649,280 992,456 667,316 972,218 159,,,589 188,400 348,317 574,324 871,298 021,,,137 802,0,307 644,286 009,216.79,,,0,279 776,286 613,382 284,285 002,,,304 309,0,593 768,323.21,319 445,,,0,0,0,0,0,,,310 977,304 716,351 798,0,1 913 299,,,1 093 810,661 458,705.66,208 615,335 949,,177 699,312 035,1 058 917,337 089,310.76,253 847,,,303 084,286 188,297 396,583.61,284 965,,,638 194,230 688,221.6,514.98,0,,,154 852,244 898,305.86,309 173,1 017 212
Bohdan Mykytchenko,"Jurion developer
",Development department,144 976,,,283 079,310 845,217 066,310 918,162 432,,,231 699,220 654,265 812,410 908,312 182,,,110 957,298 052,346 759,296 622,165 376,,,293 553,144 476,204 919,315 824,158 768,,,0,0,339.08,255 913,188 734,,,162 718,362 326,344 159,109 614,176 998,,,0,249.47,158 135,307 469,175 047,,,141 092,184 912,220.95,327 887,0,,,205 325,255 487,267 747,236 562,121 866,,,164 004,114 488,245 196,235 783,211 674,,,224.26,242 997,158 376,153 668,105 408,,,0,313 512,231 751,146 574,148 058,,,141 959,317.24,184 967,342 565,233 008
Zakhar Kurasov,Senior developer,Development department,345 542,,,285 216,344 692,371 532,172 109,340 359,,,321 702,352.17,212 522,224 558,132 854,,,295 938,252.81,329 349,151 777,353 642,,,361 285,196 172,289.36,0,0,,,0,0,217 367,301.97,309 272,,,122 502,0,0,145 543,0,,,113 173,126 726,215 437,173 881,316 725,,,157 353,0,155 626,252 205,345 301,,,188 198,11 064 376,289 762,348 107,198 374,,,205 022,301 686,204 263,324 854,347 392,,,381.54,394 751,256 856,343 493,299 882,,,225.98,119.01,349 125,330 454,343 191,,,349 898,263 931,339 524,252 567,306 739
Maksim Gendrikhovskij,Project manager,Development department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325 531,0,330 372,,,311 586,338 467,375.88,325 888,336 785,190 669,,155.73,382 063,366 796,327 652,291.86,,,298 996,330 847,347 354,176 163,0,,,336 355,309.34,386 546,314 327,0,,,347 975,236 288,308 579,308 653,250 153,,,311 156,151 503,342 795,234 873,317 261
Ani Khachatryan,QA Lead,Development department,,,,,,,,,,,,,,,,,,122 818,0,161 074,354 539,329 774,,,330 765,308 736,342 266,0,400 885,,157 172,0,302.54,167.43,352.47,125 099,,,191 995,0,0,0,318 144,,,339 905,165 948,337 851,318.78,171 129,,,264 575,0,0,377 861,163 604,,,325.25,408 458,392 573,348 729,116 113,,,335 047,116 628,0,333 369,335 036,,,327 253,150 727,128 142,354.87,0,,,314.4,131 165,0,0,0,,,0,299 473,129 136,341 196,315 665
